review_text,label
The product performs 2 and matches the description.,1
"Value for money, build quality is 6.",1
"Satisfied with the purchase, would 4 recommend.",1
"Value for money, build quality is 6.",1
"Value for money, build quality is 12.",1
"Value for money, build quality is 7.",1
I have been using this product for 11 months and it works smoothly.,1
The product performs 1 and matches the description.,1
"Good quality product, packaging was 12 and delivery was smoothly.",1
"Satisfied with the purchase, would 11 recommend.",1
"Satisfied with the purchase, would 5 recommend.",1
"Value for money, build quality is 12.",1
I have been using this product for 6 months and it works reliably.,1
The product performs 10 and matches the description.,1
The product performs 5 and matches the description.,1
I have been using this product for 6 months and it works reliably.,1
I have been using this product for 1 months and it works smoothly.,1
"Value for money, build quality is 4.",1
I have been using this product for 2 months and it works properly.,1
"Satisfied with the purchase, would 6 recommend.",1
I have been using this product for 1 months and it works smoothly.,1
I have been using this product for 10 months and it works well.,1
"Good quality product, packaging was 7 and delivery was well.",1
"Good quality product, packaging was 10 and delivery was well.",1
The product performs 8 and matches the description.,1
I have been using this product for 3 months and it works reliably.,1
"Good quality product, packaging was 9 and delivery was reliably.",1
"Good quality product, packaging was 5 and delivery was smoothly.",1
"Good quality product, packaging was 4 and delivery was smoothly.",1
The product performs 6 and matches the description.,1
"Value for money, build quality is 1.",1
"Satisfied with the purchase, would 12 recommend.",1
The product performs 11 and matches the description.,1
"Satisfied with the purchase, would 4 recommend.",1
"Satisfied with the purchase, would 9 recommend.",1
"Satisfied with the purchase, would 9 recommend.",1
"Value for money, build quality is 8.",1
I have been using this product for 6 months and it works reliably.,1
The product performs 3 and matches the description.,1
"Satisfied with the purchase, would 5 recommend.",1
The product performs 7 and matches the description.,1
"Value for money, build quality is 8.",1
"Good quality product, packaging was 9 and delivery was smoothly.",1
"Satisfied with the purchase, would 1 recommend.",1
"Good quality product, packaging was 8 and delivery was smoothly.",1
The product performs 12 and matches the description.,1
"Value for money, build quality is 1.",1
"Good quality product, packaging was 3 and delivery was smoothly.",1
I have been using this product for 1 months and it works well.,1
I have been using this product for 3 months and it works well.,1
"Value for money, build quality is 10.",1
The product performs 4 and matches the description.,1
I have been using this product for 6 months and it works well.,1
I have been using this product for 9 months and it works reliably.,1
"Value for money, build quality is 2.",1
"Good quality product, packaging was 3 and delivery was smoothly.",1
I have been using this product for 1 months and it works properly.,1
The product performs 8 and matches the description.,1
"Good quality product, packaging was 12 and delivery was smoothly.",1
"Value for money, build quality is 3.",1
"Value for money, build quality is 1.",1
"Value for money, build quality is 10.",1
I have been using this product for 9 months and it works properly.,1
"Good quality product, packaging was 2 and delivery was properly.",1
"Satisfied with the purchase, would 9 recommend.",1
"Good quality product, packaging was 5 and delivery was properly.",1
The product performs 11 and matches the description.,1
The product performs 2 and matches the description.,1
I have been using this product for 6 months and it works smoothly.,1
"Value for money, build quality is 2.",1
"Good quality product, packaging was 5 and delivery was reliably.",1
"Satisfied with the purchase, would 11 recommend.",1
I have been using this product for 1 months and it works properly.,1
"Good quality product, packaging was 3 and delivery was smoothly.",1
"Value for money, build quality is 7.",1
The product performs 8 and matches the description.,1
"Satisfied with the purchase, would 12 recommend.",1
"Satisfied with the purchase, would 9 recommend.",1
"Value for money, build quality is 3.",1
"Good quality product, packaging was 10 and delivery was smoothly.",1
The product performs 5 and matches the description.,1
I have been using this product for 1 months and it works properly.,1
The product performs 8 and matches the description.,1
I have been using this product for 2 months and it works reliably.,1
"Good quality product, packaging was 10 and delivery was properly.",1
I have been using this product for 8 months and it works well.,1
"Good quality product, packaging was 4 and delivery was smoothly.",1
"Value for money, build quality is 4.",1
I have been using this product for 4 months and it works reliably.,1
I have been using this product for 11 months and it works smoothly.,1
The product performs 12 and matches the description.,1
The product performs 4 and matches the description.,1
The product performs 6 and matches the description.,1
"Good quality product, packaging was 5 and delivery was properly.",1
"Value for money, build quality is 11.",1
The product performs 12 and matches the description.,1
"Satisfied with the purchase, would 2 recommend.",1
"Satisfied with the purchase, would 9 recommend.",1
I have been using this product for 4 months and it works reliably.,1
I have been using this product for 10 months and it works smoothly.,1
"Good quality product, packaging was 12 and delivery was reliably.",1
